sa2,DHB,Population,VaccRate,SocialDeprivation,DistanceToVacc,PropUnder30,TertiaryStudents
356200,Southern,1826,0.7250821467688937,967,17789.5659602,0.29918032786885246,No
356300,Southern,1137,0.7862796833773087,957,18845.237251,0.2825278810408922,No
358400,Southern,2245,0.6712694877505568,984.5,6787.44362264,0.41496598639455784,No
358500,Southern,877,0.6978335233751425,953,23261.9538641,0.4098360655737705,No
358600,Southern,1971,0.7574835109081685,969,508.15244445,0.36585365853658536,No
358700,Southern,932,0.7070815450643777,924,12358.5272253,0.40816326530612246,No
358800,Southern,1425,0.7108771929824561,1015.5,3444.13924731,0.2697947214076246,No
359000,Southern,942,0.79723991507431,909,16861.4805574,0.3684210526315789,No
359800,Southern,1510,0.7814569536423841,954,1323.79312411,0.3168044077134986,No
359900,Southern,2391,0.7917189460476788,970.5,1222.84660797,0.3568904593639576,No
360200,Southern,1157,0.759723422644771,1009,135.38926199899998,0.25102880658436216,No
360400,Southern,1344,0.6666666666666666,1088.5,1044.95482424,0.3848396501457726,No
360500,Southern,1419,0.7392529950669485,922,13462.2178182,0.3206997084548105,No
360800,Southern,998,0.8476953907815631,877.5,6080.46113538,0.36099585062240663,No
361500,Southern,2646,0.8420256991685563,976,939.36849631,0.3201219512195122,No
361600,Southern,2818,0.7888573456352023,997,1374.30442949,0.36885245901639346,No
362700,Southern,1077,0.691736304549675,1086,2104.48652762,0.4583333333333333,No
362800,Southern,1037,0.703953712632594,1064.5,1833.52200858,0.4122137404580153,No
362900,Southern,1838,0.7274211099020674,1048,1797.78802353,0.3898305084745763,No
363000,Southern,1276,0.6496865203761756,1133,2612.43384925,0.415625,No
363100,Southern,514,0.632295719844358,994,13408.8765827,0.3464566929133858,No
363300,Southern,1616,0.7413366336633663,1039,1634.89843007,0.31805929919137466,No
171200,Waikato,1829,0.6992892290869327,1011,4318.04901824,0.3939393939393939,No
333700,Canterbury,974,0.7166324435318275,942,24645.2208416,0.35546875,No
171300,Waikato,739,0.7023004059539919,984,21746.7955459,0.36363636363636365,No
100600,Northland,1043,0.6030680728667306,1107.5,14179.7348263,0.38267148014440433,No
104500,Northland,1330,0.5473684210526316,1282.5,1195.79146575,0.4972972972972973,No
100700,Northland,1994,0.49247743229689067,1241.5,1202.3479435900001,0.4674329501915709,No
100800,Northland,2930,0.5150170648464164,1252,1179.59010594,0.46612466124661245,No
101500,Northland,647,0.5610510046367851,1114,15126.792457,0.3181818181818182,No
101600,Northland,736,0.6182065217391305,1272,6501.917438,0.4166666666666667,No
101700,Northland,678,0.6061946902654868,1169,8949.63440252,0.3057324840764331,No
101800,Northland,1075,0.6576744186046511,1146,9663.26259307,0.32752613240418116,No
101900,Northland,997,0.5667001003009027,1151.5,11285.8163048,0.3937007874015748,No
102000,Northland,951,0.46898002103049424,1162,11913.341642,0.4026548672566372,No
